# Parcel ID -> Zoning Mapping
# Format: parcel_id|zoning
# Generated for Teton County WY

|P/SP
22-39-16-14-3-00-038|P/SP
22-39-16-14-3-00-039|R3
22-39-16-14-3-00-040|R3
22-39-16-14-3-00-041|R3
22-39-16-14-4-00-015|S
22-39-16-14-4-00-018|R3
22-39-16-14-4-00-019|R3
22-39-16-14-4-00-020|R3
22-39-16-14-4-00-022|BC
22-39-16-14-4-00-022.01|BC
22-39-16-14-4-00-023|R3
22-39-16-14-4-00-025|R2
22-39-16-14-4-00-026|R2
22-39-16-14-4-00-027|R2
22-39-16-14-4-00-037|R3
22-39-16-14-4-00-040|R2
22-39-16-14-4-00-042|R3
22-39-16-14-4-00-043|R2
22-39-16-14-4-00-044|R3
22-39-16-19-2-00-001|R1
22-39-16-19-2-03-002|R1
22-39-16-19-2-06-001|R1
22-39-16-19-2-06-002|R1
22-39-16-19-2-06-003|R1
22-39-16-19-2-06-004|R1
22-39-16-19-2-06-005|R1
22-39-16-19-2-06-006|R1
22-39-16-19-2-06-007|R1
22-39-16-19-2-06-008|R1
22-39-16-19-2-06-009|R1
22-39-16-19-2-06-010|R1
22-39-16-19-2-06-011|R1
22-39-16-19-2-06-012|R1
22-39-16-19-2-06-013|R1
22-39-16-19-2-06-014|R1
22-39-16-19-2-06-015|R1
22-39-16-19-2-06-016|R1
22-39-16-19-2-06-017|R1
22-39-16-19-2-06-018|R1
22-39-16-19-2-06-019|R1
22-39-16-19-2-06-020|R1
22-39-16-19-2-06-021|R1
22-39-16-19-2-06-022|R1
22-39-16-19-2-06-023|R1
22-39-16-19-2-06-024|R1
22-39-16-19-2-06-025|R1
22-39-16-19-2-06-026|R1
22-39-16-19-2-06-027|R1
22-39-16-19-2-06-028|R1
22-39-16-19-2-06-029|R1
22-39-16-19-4-00-001|R1
22-39-16-23-3-00-005|NC
22-39-16-23-3-00-006|R
22-39-16-23-3-00-007|R
22-39-16-23-3-00-008|R
22-39-16-23-3-01-001|NC
22-39-16-23-3-01-002|NC
22-39-16-23-3-01-003|NC
22-39-16-23-3-02-002|NC
22-39-16-23-3-02-003|NC
22-39-16-23-3-02-004|NC
22-39-16-23-3-03-001|AC
22-39-16-23-3-03-003|AC
22-39-16-23-3-03-004|AC
22-39-16-23-3-03-005|AC
22-39-16-23-3-04-001|AC
22-39-16-23-3-05-002|AC
22-39-16-23-3-05-003|NC
22-39-16-23-3-06-001|AC
22-39-16-23-3-06-002|NC
22-39-16-23-3-06-003|NC
22-39-16-23-3-07-003|AC
22-39-16-23-3-08-002|NC
22-39-16-23-3-08-003|AC
22-39-16-23-3-09-001|AC
22-39-16-23-3-09-002|AC
22-39-16-23-3-10-001|R
22-39-16-23-3-10-002|NC
22-39-16-23-3-11-001|AC
22-39-16-23-3-11-002|AC
22-39-16-23-3-11-003|AC
22-39-16-23-3-12-001|AC
22-39-16-23-3-12-002|AC
22-39-16-23-3-12-003|AC
22-39-16-23-3-13-001|NC
22-39-16-23-3-13-002|NC
22-39-16-25-1-00-002|R1
22-39-16-25-1-00-003|R1
22-39-16-25-1-00-004|R1
22-39-16-25-1-00-006|R1
22-39-16-25-1-00-007|R1
22-39-16-26-2-00-002|NC
22-39-16-26-2-00-007|NC
22-39-16-26-2-00-009|NC
22-39-16-26-2-00-010|NC
22-39-16-26-2-00-011|NC
22-39-16-26-2-00-012|AC
22-39-16-26-2-00-013|AC
22-39-16-26-2-00-015|NC
22-39-16-26-2-01-001|NC
22-39-16-26-2-01-002|NC
22-39-16-26-2-02-001|NC
22-39-16-26-2-02-002|NC
22-39-16-26-2-02-003|NC
22-39-16-26-2-02-004|NC
22-39-16-26-2-02-005|NC
22-39-16-26-2-02-006|NC
22-39-16-26-2-02-007|NC
22-39-16-26-2-02-008|NC
22-39-16-26-2-02-009|NC
22-39-16-26-2-02-010|NC
22-39-16-26-2-02-011|NC
22-39-16-26-2-02-012|NC
22-39-16-26-2-02-013|NC
22-39-16-26-2-02-014|NC
22-39-16-26-2-02-015|NC
22-39-16-26-2-02-016|NC
22-39-16-26-2-03-001|NC
22-39-16-26-2-03-002|NC
22-39-16-26-2-03-003|NC
22-39-16-26-2-03-003.01|NC
22-39-16-26-2-03-004|NC
22-39-16-26-2-03-005|NC
22-39-16-26-2-03-006|NC
22-39-16-26-2-03-007|NC
22-39-16-26-2-03-008|NC
22-39-16-26-2-03-008.01|NC
22-39-16-26-2-03-009|NC
22-39-16-26-2-03-010|NC
22-39-16-26-2-03-011|NC
22-39-16-26-2-04-001|NC
22-39-16-26-2-04-002|NC
22-39-16-26-2-04-003|NC
22-39-16-26-2-04-004|NC
22-39-16-26-2-04-005|NC
22-39-16-26-2-04-006|NC
22-39-16-26-2-04-006.01|NC
22-39-16-26-2-04-007|NC
22-39-16-26-2-04-008|NC
22-39-16-26-2-04-009|NC
22-39-16-26-2-05-001|NC
22-39-16-26-2-05-002|NC
22-39-16-26-2-05-003|NC
22-39-16-26-2-05-004|NC
22-39-16-26-2-05-005|NC
22-39-16-26-2-06-001|NC
22-39-16-26-2-06-002|NC
22-39-16-26-2-06-003|NC
22-39-16-26-2-06-004|NC
22-39-16-26-2-06-005|NC
22-39-16-26-2-07-001|NC
22-39-16-26-2-08-001|NC
22-39-16-27-1-01-001|R3
22-39-16-27-1-05-001|R3
22-39-16-27-1-05-002|R3
22-39-16-27-1-05-003|R3
22-39-16-27-1-06-001|R2
22-39-16-27-1-06-002|R2
22-39-16-27-1-07-001|R3
22-39-16-27-1-07-002|R3
22-39-16-27-4-00-001|R3
22-39-16-27-4-00-002|R3
22-39-16-27-4-02-001|R3
22-39-16-27-4-02-002|R3
22-39-16-27-4-02-003|R3
22-39-16-27-4-02-004|R3
22-39-16-27-4-02-005|R3
22-39-16-27-4-02-006|R3
22-39-16-27-4-02-007|R3
22-39-16-27-4-02-008|R3
22-39-16-27-4-02-009|R3
22-39-16-27-4-02-010|R3
22-39-16-27-4-03-001|R3
22-39-16-27-4-03-002|R3
22-39-16-27-4-04-001|R3
22-39-16-27-4-04-002|R3
22-39-16-27-4-04-003|R3
22-39-16-27-4-06-003|R2
22-39-16-31-4-00-003|R1
22-39-16-31-4-00-004|R1
22-39-16-32-4-01-001|P
22-39-16-32-4-01-005|PR
22-39-16-32-4-02-001|PR
