# Parcel ID -> Zoning Mapping
# Format: parcel_id|zoning
# Generated for Teton County WY

|P/SP
22-42-16-02-3-00-017|R3
22-42-16-02-3-00-018|R3
22-42-16-02-3-00-019|R3
22-42-16-02-3-00-020|R3
22-42-16-02-3-02-002|R3
22-42-16-02-3-02-003|R3
22-42-16-02-3-02-004|R3
22-42-16-02-3-02-005|R3
22-42-16-02-3-03-001|R3
22-42-16-02-3-03-002|R3
22-42-16-02-3-03-004|R3
22-42-16-02-3-03-005|R1
22-42-16-02-3-03-006|R1
22-42-16-02-3-05-001|R3
22-42-16-02-3-05-002|R3
22-42-16-02-3-05-003|R3
22-42-16-02-3-05-004|R3
22-42-16-02-3-05-005|R3
22-42-16-02-3-05-006|R3
22-42-16-02-3-06-001|R3
22-42-16-02-3-06-002|R3
22-42-16-02-3-06-003|R3
22-42-16-02-3-06-004|R3
22-42-16-02-3-07-001|R3
22-42-16-02-3-07-002|R3
22-42-16-02-3-07-003|R3
22-42-16-02-3-07-004|R3
22-42-16-02-3-07-005|R3
22-42-16-02-3-08-001|R3
22-42-16-02-3-08-002|R3
22-42-16-02-3-08-003|R3
22-42-16-02-3-08-004|R3
22-42-16-02-3-08-005|R3
22-42-16-02-3-09-001|R1
22-42-16-02-3-09-002|R1
22-42-16-02-4-04-001|R3
22-42-16-03-4-00-005|R1
22-42-16-03-4-00-012|R1
22-42-16-03-4-00-016|R1
22-42-16-03-4-00-018|R1
22-42-16-03-4-00-019|R1
22-42-16-03-4-00-020|R1
22-42-16-03-4-00-021|R1
22-42-16-03-4-01-001|R1
22-42-16-03-4-01-002|R1
22-42-16-03-4-01-003|R1
22-42-16-09-4-00-003|R2
22-42-16-09-4-00-004|R2
22-42-16-09-4-00-005|R2
22-42-16-09-4-00-006|R2
22-42-16-10-1-01-001|R3
22-42-16-10-1-01-002|R3
22-42-16-10-1-01-003|R3
22-42-16-10-1-02-001|R3
22-42-16-10-1-02-002|R3
22-42-16-10-1-02-003|R3
22-42-16-10-1-02-004|R3
22-42-16-10-1-04-001|R3
22-42-16-10-1-04-002|R3
22-42-16-10-1-04-004|R3
22-42-16-10-1-04-005|R3
22-42-16-10-1-05-001|R3
22-42-16-10-1-05-002|R3
22-42-16-10-1-05-003|R3
22-42-16-10-1-05-004|R3
22-42-16-10-1-05-005|R3
22-42-16-10-1-05-006|R3
22-42-16-10-1-06-001|R3
22-42-16-10-1-06-002|R3
22-42-16-10-1-06-003|R3
22-42-16-10-1-06-004|R3
22-42-16-10-1-06-005|R3
22-42-16-10-1-06-006|R3
22-42-16-10-1-07-001|R3
22-42-16-10-1-07-002|R3
22-42-16-10-1-07-008|R3
22-42-16-10-1-07-009|R3
22-42-16-10-1-11-001|R3
22-42-16-10-1-11-002|R3
22-42-16-10-1-11-003|R3
22-42-16-10-2-03-001|R3
22-42-16-10-2-03-002|R3
22-42-16-10-2-03-003|R3
22-42-16-10-2-03-004|R3
22-42-16-10-2-03-005|R3
22-42-16-10-2-03-006|R3
22-42-16-10-2-04-003|R3
22-42-16-10-2-07-003|R3
22-42-16-10-2-07-004|R3
22-42-16-10-2-07-005|R3
22-42-16-10-2-07-006|R3
22-42-16-10-2-07-007|R3
22-42-16-10-3-03-009|R3
22-42-16-10-3-03-010|R3
22-42-16-10-3-03-011|R3
22-42-16-10-3-03-012|R3
22-42-16-10-3-03-013|R3
22-42-16-10-3-03-014|R3
22-42-16-10-3-03-018|R3
22-42-16-10-3-03-019|R3
22-42-16-10-3-08-002|R3
22-42-16-10-3-08-002.01|R3
22-42-16-10-3-08-003|R3
22-42-16-10-3-08-004|R3
22-42-16-10-3-08-005|R3
22-42-16-10-3-08-006|R3
22-42-16-10-3-08-007|R3
22-42-16-10-3-09-004|R3
22-42-16-10-3-09-005|R3
22-42-16-10-3-09-006|R3
22-42-16-10-3-10-001|R3
22-42-16-10-3-10-002|R3
22-42-16-10-3-10-003|R3
22-42-16-10-3-10-004|R3
22-42-16-10-3-10-005|R3
22-42-16-10-3-10-006|R3
22-42-16-10-3-10-007|R3
22-42-16-10-3-12-002|R3
22-42-16-10-3-13-001|R3
22-42-16-10-3-13-002|R3
22-42-16-10-3-14-001|R3
22-42-16-10-3-14-002|R3
22-42-16-10-4-03-015|R3
22-42-16-10-4-03-016|R3
22-42-16-10-4-03-017|R3
22-42-16-10-4-06-007|R3
22-42-16-10-4-06-008|R3
22-42-16-10-4-06-009|R3
22-42-16-10-4-06-010|R3
22-42-16-10-4-06-011|R3
22-42-16-10-4-06-012|R3
22-42-16-10-4-06-013|R3
22-42-16-10-4-08-001|R3
22-42-16-10-4-08-008|R3
22-42-16-10-4-09-008|R3
22-42-16-10-4-10-008|R3
22-42-16-10-4-11-004|R3
22-42-16-10-4-11-005|R3
22-42-16-10-4-11-006|R3
22-42-16-10-4-11-007|R3
22-42-16-10-4-11-008|R3
22-42-16-10-4-11-009|R3
22-42-16-10-4-11-010|R3
22-42-16-10-4-11-011|R3
22-42-16-10-4-11-012|R3
22-42-16-10-4-11-013|R3
22-42-16-11-2-01-002|R3
22-42-16-11-2-01-003|R3
22-42-16-11-2-01-004|R3
22-42-16-11-2-01-005|R3
22-42-16-11-2-02-001|R3
22-42-16-11-2-02-002|R3
22-42-16-11-2-03-001|R3
22-42-16-15-1-00-003|R3
22-42-16-15-1-00-004|R3
22-42-16-15-1-00-005|R3
22-42-16-15-1-00-006|R3
22-42-16-15-1-00-007|R3
22-42-16-15-1-01-001|R3
22-42-16-15-1-01-002|R3
22-42-16-15-1-01-003|R3
22-42-16-15-1-01-004|R3
22-42-16-15-1-01-007|R3
22-42-16-15-1-01-008|R3
22-42-16-15-1-01-009|R3
22-42-16-15-2-05-001|R3
22-42-16-15-2-05-002|R3
22-42-16-15-2-05-003|R3
22-42-16-15-2-05-004|R3
22-42-16-15-2-05-005|R3
22-42-16-15-2-05-006|R3
22-42-16-15-2-05-007|R3
22-42-16-15-2-05-008|R3
22-42-16-15-2-05-009|R3
22-42-16-15-2-05-010|R3
22-42-16-15-2-05-011|R3
22-42-16-15-2-05-012|R3
22-42-16-15-2-05-013|R3
22-42-16-15-2-05-014|R3
22-42-16-15-2-05-015|R3
22-42-16-15-2-06-001|R3
22-42-16-15-2-06-002|R3
22-42-16-15-2-06-003|R3
22-42-16-15-2-06-004|R3
22-42-16-15-2-06-005|R3
22-42-16-15-2-06-006|R3
22-42-16-15-2-06-007|R3
22-42-16-15-2-06-008|R3
22-42-16-15-2-06-009|R3
22-42-16-15-2-06-010|R3
22-42-16-15-2-06-011|R3
22-42-16-15-2-06-012|R3
22-42-16-15-2-06-013|R3
22-42-16-15-2-06-014|R3
22-42-16-15-2-07-001|R3
22-42-16-15-2-07-002|R3
22-42-16-15-2-07-003|R3
22-42-16-15-2-07-004|R3
22-42-16-15-2-07-005|R3
22-42-16-15-2-07-006|R3
22-42-16-15-2-07-007|R3
22-42-16-15-2-07-014|R3
22-42-16-15-2-07-015|R3
22-42-16-15-2-07-016|R3
22-42-16-15-2-07-017|R3
22-42-16-15-2-07-018|R3
22-42-16-15-2-07-019|R3
22-42-16-15-3-00-016|R3
22-42-16-15-3-00-017|R1
22-42-16-15-3-02-001|R3
22-42-16-15-3-02-002|R3
22-42-16-15-3-02-003|R3
22-42-16-15-3-02-004|R3
22-42-16-15-3-02-005|R3
22-42-16-15-3-02-006|R3
22-42-16-15-3-02-007|R3
22-42-16-15-3-02-008|R3
22-42-16-15-3-02-009|R3
22-42-16-15-3-02-010|R3
22-42-16-15-3-06-015|R3
22-42-16-15-3-06-016|R3
22-42-16-15-3-07-008|R3
22-42-16-15-3-07-009|R3
22-42-16-15-3-07-010|R3
22-42-16-15-3-07-011|R3
22-42-16-15-3-07-012|R3
22-42-16-15-3-07-013|R3
22-42-16-15-4-00-008|R3
22-42-16-15-4-00-010|R3
22-42-16-15-4-01-005|R3
22-42-16-15-4-01-006|R3
22-42-16-15-4-03-001|R3
22-42-16-15-4-03-002|R3
22-42-16-15-4-03-003|R3
22-42-16-15-4-03-004|R3
22-42-16-15-4-03-005|R3
22-42-16-15-4-03-006|R3
22-42-16-15-4-03-007|R3
22-42-16-15-4-03-008|R3
22-42-16-15-4-03-009|R3
22-42-16-15-4-03-010|R3
22-42-16-15-4-03-011|R3
22-42-16-15-4-03-012|R3
22-42-16-15-4-03-013|R3
22-42-16-15-4-03-014|R3
22-42-16-15-4-03-015|R3
22-42-16-15-4-03-016|R3
22-42-16-15-4-03-017|R3
22-42-16-15-4-03-018|R3
22-42-16-15-4-03-019|R3
22-42-16-15-4-03-020|R3
22-42-16-15-4-03-021|R3
22-42-16-15-4-03-022|R3
22-42-16-15-4-03-023|R3
22-42-16-15-4-03-024|R3
22-42-16-15-4-03-025|R3
22-42-16-15-4-04-001|R3
22-42-16-15-4-04-002|R3
22-42-16-15-4-04-003|R3
22-42-16-15-4-04-004|R3
22-42-16-15-4-04-005|R3
22-42-16-15-4-04-006|R3
22-42-16-15-4-04-007|R3
22-42-16-15-4-04-008|R3
22-42-16-15-4-04-009|R3
22-42-16-15-4-04-010|R3
22-42-16-15-4-04-011|R3
22-42-16-15-4-04-013|R3
22-42-16-15-4-04-014|R3
22-42-16-15-4-04-015|R3
22-42-16-15-4-04-016|R3
22-42-16-15-4-04-017|R3
22-42-16-15-4-08-001|R3
22-42-16-15-4-08-002|R3
22-42-16-15-4-08-003|R3
22-42-16-15-4-08-004|R3
22-42-16-15-4-08-005|R3
22-42-16-15-4-08-006|R3
22-42-16-15-4-08-007|R3
22-42-16-15-4-08-008|R3
22-42-16-15-4-08-009|R3
22-42-16-15-4-09-001|R3
22-42-16-15-4-09-002|R3
22-42-16-15-4-09-003|R3
22-42-16-15-4-09-004|R3
22-42-16-16-1-00-002|R1
22-42-16-16-1-00-012|R1
22-42-16-16-1-00-013|R1
22-42-16-16-1-00-014|R1
22-42-16-16-1-01-001|R3
22-42-16-16-1-01-002|R3
22-42-16-16-1-01-003|R3
22-42-16-16-1-01-004|R3
22-42-16-16-1-01-005|R3
22-42-16-16-1-01-006|R3
22-42-16-16-3-00-002|R1
22-42-16-16-3-00-003|R1
22-42-16-16-4-00-001|R1
22-42-16-16-4-00-005|R2
22-42-16-16-4-00-006|R2
22-42-16-16-4-00-009|R2
22-42-16-16-4-00-010|R2
22-42-16-16-4-00-011|R2
22-42-16-16-4-00-012|R2
22-42-16-17-2-00-002|R2
22-42-16-17-2-00-003|R2
22-42-16-17-3-00-004|R2
22-42-16-17-3-00-005|R2
22-42-16-17-3-00-006|R2
22-42-16-17-3-00-007|R2
22-42-16-17-3-00-010|R2
22-42-16-17-3-00-011|R2
22-42-16-17-3-00-013|R2
22-42-16-17-3-00-014|R2
22-42-16-17-3-00-015|R2
22-42-16-17-3-00-017|R2
22-42-16-18-3-00-003|R1
22-42-16-18-3-00-004|R1
22-42-16-18-3-00-005|R1
22-42-16-18-4-00-004|R2
22-42-16-18-4-00-006|R2
22-42-16-18-4-00-010|R1
22-42-16-18-4-00-011|R1
22-42-16-18-4-01-001|R2
22-42-16-18-4-01-002|R2
22-42-16-19-1-00-003|R1
22-42-16-19-1-00-006|PUD R1
22-42-16-19-1-00-007|R1
22-42-16-19-1-00-008|PUD R1
22-42-16-19-1-00-008.01|PR
22-42-16-19-2-00-003|R1
22-42-16-19-2-00-004|R3
22-42-16-19-2-00-009|PR
22-42-16-19-2-00-009.01|P/SP
22-42-16-19-2-00-011|P/SP
22-42-16-19-2-00-012|P/SP
22-42-16-19-2-01-001.01|PR
22-42-16-19-2-01-001.02|PR
22-42-16-19-2-01-001.03|PR
22-42-16-19-2-03-001|PR
22-42-16-19-2-03-002|PR
22-42-16-19-2-03-003|PR
22-42-16-19-2-03-004|PR
22-42-16-19-2-03-005|PR
22-42-16-19-2-03-006|PR
22-42-16-19-2-03-007|PR
22-42-16-19-2-03-008|PR
22-42-16-19-2-03-009|PR
22-42-16-19-2-03-010|PR
22-42-16-19-2-03-011|PR
22-42-16-19-2-03-012|PR
22-42-16-19-2-03-013|PR
22-42-16-19-2-03-014|PR
22-42-16-19-2-03-015|PR
22-42-16-19-2-04-002|PR
22-42-16-19-2-05-001|PR
22-42-16-19-2-05-002|PR
22-42-16-19-2-05-003|PR
22-42-16-19-2-05-004|PR
22-42-16-19-2-05-005|PR
22-42-16-19-2-05-006|PR
22-42-16-19-2-05-007|PR
22-42-16-19-2-05-008|PR
22-42-16-19-2-05-009|PR
22-42-16-19-2-06-001|PR
22-42-16-19-2-06-002|PR
22-42-16-19-2-06-003|PR
22-42-16-19-2-06-004|PR
22-42-16-19-2-06-005|PR
22-42-16-19-2-06-006|PR
22-42-16-19-2-06-007|PR
22-42-16-19-2-06-008|PR
22-42-16-19-2-06-009|PR
22-42-16-19-2-06-010|PR
22-42-16-19-2-06-011|PR
22-42-16-19-2-07-001|PR
22-42-16-19-2-09-001|PR
22-42-16-19-2-09-002|PR
22-42-16-19-2-09-003|PR
22-42-16-19-2-09-004|PR
22-42-16-19-2-09-005|PR
22-42-16-19-2-09-006|PR
22-42-16-19-2-09-007|PR
22-42-16-19-2-50-CND|PR
22-42-16-19-3-00-001|P/SP
22-42-16-19-3-00-005|R1
22-42-16-19-3-00-007|R1
22-42-16-19-3-00-008|R1
22-42-16-19-3-00-009|P/SP
22-42-16-19-4-00-002|R1
22-42-16-19-4-01-003|R3
22-42-16-19-4-01-004|R3
22-42-16-19-4-01-005|R1
22-42-16-19-4-01-006|R3
22-42-16-19-4-01-007|R3
22-42-16-19-4-02-001|R3
22-42-16-19-4-02-002|R1
22-42-16-20-1-00-002|R1
22-42-16-20-1-00-003|R1
22-42-16-20-2-00-003|R1
22-42-16-20-2-01-001|R1
22-42-16-20-2-01-002|R1
22-42-16-20-3-00-008|R1
22-42-16-20-3-00-009|R1
22-42-16-20-3-01-001|R3
22-42-16-20-3-01-002|R3
22-42-16-20-3-01-003|R3
22-42-16-20-3-01-004|R3
22-42-16-20-3-01-005|R3
22-42-16-20-3-01-006|R3
22-42-16-20-3-01-007|R1
22-42-16-20-4-00-008|R3
22-42-16-20-4-00-011|R2
22-42-16-20-4-01-001|R3
22-42-16-20-4-01-002|R3
22-42-16-20-4-01-004|R1
22-42-16-20-4-01-005|R1
22-42-16-20-4-01-006|R1
22-42-16-20-4-02-001|R3
22-42-16-20-4-02-002|R3
22-42-16-21-1-00-005|R1
22-42-16-21-1-00-007|R1
22-42-16-21-1-00-008|R1
22-42-16-21-1-00-009|R1
22-42-16-21-1-00-010|R1
22-42-16-21-1-00-011|R1
22-42-16-21-1-00-012|R1
22-42-16-21-1-00-013|R1
22-42-16-21-1-01-002|PUD R2
22-42-16-21-1-02-002|PUD R2
22-42-16-21-1-03-001|R2
22-42-16-21-1-03-002|R2
22-42-16-21-2-00-006|R1
22-42-16-21-2-00-008|R1
22-42-16-21-2-00-009|R1
22-42-16-21-3-00-013|R1
22-42-16-21-3-00-014|R1
22-42-16-21-3-00-015|R1
22-42-16-21-3-00-015.01|R1
22-42-16-21-4-00-001|R1
22-42-16-21-4-00-002|R1
22-42-16-21-4-02-001|PUD R2
22-42-16-21-4-02-002|PUD R2
22-42-16-22-1-00-004|R3
22-42-16-22-1-00-005|R3
22-42-16-22-1-00-006|R3
22-42-16-22-1-00-007|R3
22-42-16-22-1-00-008|R3
22-42-16-22-1-00-009|R3
22-42-16-22-1-00-011|R3
22-42-16-22-1-00-012|R3
22-42-16-22-1-00-015|R3
22-42-16-22-1-00-088|R3
22-42-16-22-1-00-089|R3
22-42-16-22-1-00-092|R3
22-42-16-22-1-00-094|R1
22-42-16-22-1-00-095|R1
22-42-16-22-1-01-001|R3
22-42-16-22-1-01-002|R3
22-42-16-22-1-01-003|R3
22-42-16-22-1-01-004|R3
22-42-16-22-1-01-005|R3
22-42-16-22-1-02-001|PUD R2
22-42-16-22-1-04-001|R3
22-42-16-22-1-04-003|R3
22-42-16-22-1-04-004|R3
22-42-16-22-1-04-005|R3
22-42-16-22-1-05-001|R3
22-42-16-22-2-05-001|PUD R2
22-42-16-22-2-06-001|PUD R2
22-42-16-22-3-00-027|R3
22-42-16-22-3-00-028|R3
22-42-16-22-3-00-029|R3
22-42-16-22-3-00-030|R3
22-42-16-22-3-00-031|R3
22-42-16-22-3-00-032|R3
22-42-16-22-3-00-045|R3
22-42-16-22-3-00-046|R3
22-42-16-22-3-00-047|R3
22-42-16-22-3-00-048|R3
22-42-16-22-3-00-049|R3
22-42-16-22-3-00-050|R3
22-42-16-22-3-00-059|R3
22-42-16-22-3-00-060|R3
22-42-16-22-3-00-061|R3
22-42-16-22-3-00-062|R3
22-42-16-22-3-00-064|R3
22-42-16-22-3-00-065|R3
22-42-16-22-3-00-077|R3
22-42-16-22-3-00-081|R3
22-42-16-22-3-00-096|R3
22-42-16-22-3-00-097|R3
22-42-16-22-3-02-001|R3
22-42-16-22-3-02-002|R3
22-42-16-22-3-02-003|R3
22-42-16-22-3-02-004|R3
22-42-16-22-3-06-001|PUD R2
22-42-16-22-3-06-002|PUD R2
22-42-16-22-3-06-003|PUD R2
22-42-16-22-3-06-004|PUD R2
22-42-16-22-3-07-001|R3
22-42-16-22-3-07-002|R3
22-42-16-22-3-08-001|R3
22-42-16-22-3-08-002|R3
22-42-16-22-3-08-003|R3
22-42-16-22-3-08-004|R3
22-42-16-22-4-00-013|R3
22-42-16-22-4-00-014|R3
22-42-16-22-4-00-016|R3
22-42-16-22-4-00-017|R3
22-42-16-22-4-00-018|R3
22-42-16-22-4-00-019|R3
22-42-16-22-4-00-020|R3
22-42-16-22-4-00-021|R3
22-42-16-22-4-00-022|R3
22-42-16-22-4-00-023|R3
22-42-16-22-4-00-024|R3
22-42-16-22-4-00-025|R3
22-42-16-22-4-00-034|R3
22-42-16-22-4-00-035|R3
22-42-16-22-4-00-036|R3
22-42-16-22-4-00-038|R3
22-42-16-22-4-00-039|R3
22-42-16-22-4-00-040|R3
22-42-16-22-4-00-041|R3
22-42-16-22-4-00-042|R3
22-42-16-22-4-00-043|R3
22-42-16-22-4-00-044|R3
22-42-16-22-4-00-051|R3
22-42-16-22-4-00-053|R3
22-42-16-22-4-00-054|R3
22-42-16-22-4-00-055|R3
22-42-16-22-4-00-056|R3
22-42-16-22-4-00-057|R3
22-42-16-22-4-00-058|R3
22-42-16-22-4-00-066|R3
22-42-16-22-4-00-067|R3
22-42-16-22-4-00-068|R3
22-42-16-22-4-00-069|R3
22-42-16-22-4-00-070|R3
22-42-16-22-4-00-072|R3
22-42-16-22-4-00-073|R3
22-42-16-22-4-00-074|R3
22-42-16-22-4-00-075|R3
22-42-16-22-4-00-076|R3
22-42-16-22-4-00-078|R3
22-42-16-22-4-00-079|R3
22-42-16-22-4-00-080|R3
22-42-16-22-4-00-082|R3
22-42-16-22-4-00-083|R3
22-42-16-22-4-00-084|R3
22-42-16-22-4-00-085|R3
22-42-16-22-4-00-094|R3
22-42-16-22-4-00-095|R3
22-42-16-22-4-00-096|R3
22-42-16-22-4-00-097|R3
22-42-16-22-4-01-001|R1
22-42-16-22-4-01-002|R1
22-42-16-22-4-02-001|R3
22-42-16-22-4-02-002|R3
22-42-16-22-4-02-003|R3
22-42-16-22-4-02-004|R3
22-42-16-22-4-03-001|R3
22-42-16-22-4-03-002|R3
22-42-16-27-1-23-001|PUD R3
22-42-16-27-1-23-002|PUD R3
22-42-16-27-1-23-003|PUD R3
22-42-16-27-1-23-004|PUD R3
22-42-16-27-1-24-001|PUD R3
22-42-16-27-1-24-002|PUD R3
22-42-16-27-1-24-003|PUD R3
22-42-16-27-1-24-004|PUD R3
22-42-16-27-1-24-005|PUD R3
22-42-16-27-1-24-006|PUD R3
22-42-16-27-1-24-007|PUD R3
22-42-16-27-1-24-008|PUD R3
22-42-16-27-1-25-001|PUD R3
22-42-16-27-1-25-002|PUD R3
22-42-16-27-1-25-003|PUD R3
22-42-16-27-1-25-004|PUD R3
22-42-16-27-1-25-005|PUD R3
22-42-16-27-1-25-006|PUD R3
22-42-16-27-1-25-007|PUD R3
22-42-16-27-1-26-001|PUD R3
22-42-16-27-1-26-002|PUD R3
22-42-16-27-1-26-003|PUD R3
22-42-16-27-1-26-004|PUD R3
22-42-16-27-1-26-005|PUD R3
22-42-16-27-1-26-006|PUD R3
22-42-16-27-1-26-007|PUD R3
22-42-16-27-1-28-001|PUD R3
22-42-16-27-1-28-002|PUD R3
22-42-16-27-1-28-003|PUD R3
22-42-16-27-1-28-004|PUD R3
22-42-16-27-1-28-005|PUD R3
22-42-16-27-1-28-006|PUD R3
22-42-16-27-1-28-007|PUD R3
22-42-16-27-1-28-008|PUD R3
22-42-16-27-1-28-009|PUD R3
22-42-16-27-1-29-001|PUD R3
22-42-16-27-1-29-002|PUD R3
22-42-16-27-1-29-003|PUD R3
22-42-16-27-1-29-004|PUD R3
22-42-16-27-1-29-005|PUD R3
22-42-16-27-2-27-001|PUD R3
22-42-16-27-2-27-002|PUD R3
22-42-16-27-2-27-003|PUD R3
22-42-16-27-2-27-004|PUD R3
22-42-16-27-2-27-005|PUD R3
22-42-16-27-2-27-006|PUD R3
22-42-16-27-2-27-007|PUD R3
22-42-16-27-2-27-011|PUD R3
22-42-16-27-2-27-012|PUD R3
22-42-16-27-2-30-001|PUD R3
22-42-16-27-2-30-002|PUD R3
22-42-16-27-2-30-003|PUD R3
22-42-16-27-2-30-004|PUD R3
22-42-16-27-2-30-005|PUD R3
22-42-16-27-2-30-006|PUD R3
22-42-16-27-2-30-007|PUD R3
22-42-16-27-2-30-008|PUD R3
22-42-16-27-2-30-009|PUD R3
22-42-16-27-2-30-010|PUD R3
22-42-16-27-2-30-011|PUD R3
22-42-16-27-2-31-001|PUD R3
22-42-16-27-2-31-002|PUD R3
22-42-16-27-2-31-003|PUD R3
22-42-16-27-2-31-004|PUD R3
22-42-16-27-2-31-005|PUD R3
22-42-16-27-2-31-006|PUD R3
22-42-16-27-2-31-007|PUD R3
22-42-16-27-2-31-008|PUD R3
22-42-16-27-2-31-009|PUD R3
22-42-16-27-2-32-001|PUD R3
22-42-16-27-2-32-002|PUD R3
22-42-16-27-3-00-006|NC
22-42-16-27-3-00-008|R3
22-42-16-27-3-00-009|R3
22-42-16-27-3-02-001|R3
22-42-16-27-3-02-002|R3
22-42-16-27-3-02-003|R3
22-42-16-27-3-02-005|R3
22-42-16-27-3-02-006|R3
22-42-16-27-3-02-007|R3
22-42-16-27-3-02-009|R3
22-42-16-27-3-02-010|R3
22-42-16-27-3-02-011|R3
22-42-16-27-3-02-012|R3
22-42-16-27-3-02-013|R3
22-42-16-27-3-02-014|R3
22-42-16-27-3-02-015|R3
22-42-16-27-3-02-016|R3
22-42-16-27-3-02-017|R3
22-42-16-27-3-02-018|R3
22-42-16-27-3-02-019|R3
22-42-16-27-3-02-020|R3
22-42-16-27-3-02-024|R3
22-42-16-27-3-02-025|R3
22-42-16-27-3-02-026|R3
22-42-16-27-3-02-027|R3
22-42-16-27-3-02-028|R3
22-42-16-27-3-02-029|R3
22-42-16-27-3-02-030|R3
22-42-16-27-3-05-001|R3
22-42-16-27-3-05-002|R3
22-42-16-27-3-05-003|R3
22-42-16-27-3-05-004|R3
22-42-16-27-3-05-005|R3
22-42-16-27-3-05-006|R3
22-42-16-27-3-05-007|R3
22-42-16-27-3-05-008|R3
22-42-16-27-3-05-009|R3
22-42-16-27-3-05-010|R3
22-42-16-27-3-12-001|NC
22-42-16-27-3-12-002|NC
22-42-16-27-3-12-003|NC
22-42-16-27-3-12-004|NC
22-42-16-27-3-12-005|NC
22-42-16-27-3-12-006|NC
22-42-16-27-3-12-007|NC
22-42-16-27-3-12-008|NC
22-42-16-27-3-12-009|NC
22-42-16-27-3-12-010|NC
22-42-16-27-3-12-011|NC
22-42-16-27-3-12-012|NC
22-42-16-27-3-12-CND|NC
22-42-16-27-3-13-001|NC
22-42-16-27-3-13-002|NC
22-42-16-27-3-13-003|NC
22-42-16-27-3-13-004|NC
22-42-16-27-3-13-005|NC
22-42-16-27-3-13-006|NC
22-42-16-27-3-13-CND|NC
22-42-16-27-3-14-001|NC
22-42-16-27-3-14-002|NC
22-42-16-27-3-14-003|NC
22-42-16-27-3-14-004|NC
22-42-16-27-3-14-005|NC
22-42-16-27-3-14-006|NC
22-42-16-27-3-14-CND|NC
22-42-16-27-3-15-001|NC
22-42-16-27-3-15-002|NC
22-42-16-27-3-15-003|NC
22-42-16-27-3-15-004|NC
22-42-16-27-3-15-005|NC
22-42-16-27-3-15-006|NC
22-42-16-27-3-15-007|NC
22-42-16-27-3-15-008|NC
22-42-16-27-3-15-CND|NC
22-42-16-27-3-16-001|NC
22-42-16-27-3-16-002|NC
22-42-16-27-3-16-003|NC
22-42-16-27-3-16-004|NC
22-42-16-27-3-16-005|NC
22-42-16-27-3-16-006|NC
22-42-16-27-3-16-CND|NC
22-42-16-27-3-17-001|NC
22-42-16-27-3-17-002|NC
22-42-16-27-3-17-003|NC
22-42-16-27-3-17-004|NC
22-42-16-27-3-17-005|NC
22-42-16-27-3-17-006|NC
22-42-16-27-3-17-CND|NC
22-42-16-27-3-18-001|NC
22-42-16-27-3-18-002|NC
22-42-16-27-3-18-003|NC
22-42-16-27-3-18-004|NC
22-42-16-27-3-18-005|NC
22-42-16-27-3-18-006|NC
22-42-16-27-3-18-CND|NC
22-42-16-27-3-19-001|NC
22-42-16-27-3-19-002|NC
22-42-16-27-3-19-003|NC
22-42-16-27-3-19-004|NC
22-42-16-27-3-19-CND|NC
22-42-16-27-3-20-001|NC
22-42-16-27-3-20-002|NC
22-42-16-27-3-20-003|NC
22-42-16-27-3-20-004|NC
22-42-16-27-3-20-CND|NC
22-42-16-27-3-21-001|NC
22-42-16-27-3-21-002|NC
22-42-16-27-3-21-003|NC
22-42-16-27-3-21-004|NC
22-42-16-27-3-21-CND|NC
22-42-16-27-3-22-001|NC
22-42-16-27-3-22-002|NC
22-42-16-27-3-22-003|NC
22-42-16-27-3-22-004|NC
22-42-16-27-3-22-005|NC
22-42-16-27-3-22-006|NC
22-42-16-27-3-22-CND|NC
22-42-16-27-3-23-001|R3
22-42-16-27-3-24-001|R3
22-42-16-27-3-24-002|R3
22-42-16-27-3-25-001|R3
22-42-16-27-3-25-002|R3
22-42-16-27-4-03-001|NC
22-42-16-27-4-03-002|NC
22-42-16-27-4-03-003|NC
22-42-16-27-4-03-004|NC
22-42-16-27-4-03-005|NC
22-42-16-27-4-03-006|NC
22-42-16-27-4-04-002|NC
22-42-16-27-4-04-003|NC
22-42-16-27-4-04-004|NC
22-42-16-27-4-04-005|NC
22-42-16-27-4-04-006|NC
22-42-16-27-4-04-007|NC
22-42-16-27-4-04-008|NC
22-42-16-27-4-04-009|NC
22-42-16-27-4-04-010|NC
22-42-16-27-4-04-011|NC
22-42-16-27-4-04-012|NC
22-42-16-27-4-04-013|NC
22-42-16-27-4-04-014|NC
22-42-16-27-4-04-015|NC
22-42-16-27-4-04-016|NC
22-42-16-27-4-04-017|NC
22-42-16-27-4-04-018|NC
22-42-16-27-4-04-019|NC
22-42-16-27-4-04-020|NC
22-42-16-27-4-04-021|NC
22-42-16-27-4-04-022|NC
22-42-16-27-4-04-023|NC
22-42-16-27-4-04-024|NC
22-42-16-27-4-04-025|NC
22-42-16-27-4-04-026|NC
22-42-16-27-4-04-027|NC
22-42-16-27-4-04-028|NC
22-42-16-27-4-04-029|NC
22-42-16-27-4-04-031|NC
22-42-16-27-4-04-032|NC
22-42-16-27-4-04-033|NC
22-42-16-27-4-06-001|NC
22-42-16-27-4-08-001|NC
22-42-16-27-4-08-002|NC
22-42-16-27-4-08-003|NC
22-42-16-27-4-08-004|NC
22-42-16-27-4-08-005|NC
22-42-16-27-4-08-006|NC
22-42-16-27-4-08-CND|NC
22-42-16-27-4-09-001|NC
